"object_category_Id";"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"object_category_Id";"Код";"Наименование";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"";"536";"Станция №2, 22 кВт";"Центральный административный округ";"район Замоскворечье";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Бахрушина, дом 18, строение 3";"37.63573";"55.73453";"2566160457";"";"";
"";"497";"Станция №71, 22 кВт";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 6, строение 1";"37.65551";"55.73631";"2566160494";"";"";
"";"519";"Станция №72, 22 кВт";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 6, строение 1А";"37.655608";"55.736211";"2566160642";"";"";
"";"552";"Станция №73, 50 кВт";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А";"37.571088";"55.743311";"2566178202";"";"";
"";"431";"Станция №74, 50 кВт";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А";"37.570948";"55.743153";"2566178211";"";"";
"";"432";"Станция №75, 50 кВт";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Европы, дом 1А";"37.571189";"55.743406";"2566178212";"";"";
"";"435";"Станция №78, 50 кВт";"Северный административный округ";"район Беговой";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, улица Авиаконструктора Сухого, дом 1А, строение 1";"37.542159";"55.785205";"2566178213";"";"";
"";"537";"Станция №79, 22 кВт";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Менжинского, дом 23, корпус 1";"37.662035";"55.869758";"2566178214";"";"";
"";"534";"Станция №80, 22 кВт";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Цимлянская улица, дом 7, строение 4";"37.767375";"55.668741";"2566178215";"";"";
